Usuário,Objetivo do treino,Tempo (min),Distância (km),Histórico de lesão,Pace (min/km),Peso (kg),Altura (cm),Atividades/semana,Nível,objetivo_encoded,lesao_encoded,nivel_encoded
122,Emagrecimento,157,16.8,Não,9.32,78.8,157.0,1,Avançado,1,0,0
123,Bem-estar,102,11.8,Não,8.68,84.3,194.0,5,Intermediário,0,0,2
124,Emagrecimento,44,7.9,Sim,5.56,56.0,171.0,1,Intermediário,1,1,2
125,Emagrecimento,87,14.7,Sim,5.93,56.1,181.0,2,Intermediário,1,1,2
126,Maratona,80,9.0,Não,8.85,78.3,176.0,7,Intermediário,2,0,2
127,Emagrecimento,48,5.4,Não,8.95,63.5,169.0,6,Intermediário,1,0,2
128,Maratona,146,19.0,Não,7.7,69.6,169.0,6,Avançado,2,0,0
129,Emagrecimento,38,6.3,Não,6.07,70.0,178.0,2,Intermediário,1,0,2
130,Bem-estar,93,16.5,Não,5.62,58.9,157.0,5,Intermediário,0,0,2
131,Emagrecimento,80,9.1,Não,8.76,50.1,169.0,3,Intermediário,1,0,2
132,Maratona,172,31.1,Não,5.53,92.7,172.0,2,Avançado,2,0,0
133,Maratona,39,5.0,Sim,7.81,85.8,199.0,6,Intermediário,2,1,2
134,Bem-estar,67,7.2,Sim,9.34,84.5,168.0,2,Intermediário,0,1,2
135,Emagrecimento,106,13.2,Não,8.03,77.3,182.0,1,Intermediário,1,0,2
136,Emagrecimento,171,29.5,Não,5.79,85.0,157.0,1,Avançado,1,0,0
137,Bem-estar,158,26.7,Sim,5.91,96.8,153.0,2,Intermediário,0,1,2
138,Emagrecimento,129,26.0,Não,4.96,83.3,194.0,5,Avançado,1,0,0
139,Emagrecimento,47,5.9,Sim,7.93,63.3,187.0,3,Intermediário,1,1,2
140,Maratona,78,11.0,Não,7.09,78.5,166.0,1,Intermediário,2,0,2
141,Emagrecimento,152,27.5,Não,5.53,72.1,175.0,6,Avançado,1,0,0
142,Emagrecimento,70,12.4,Não,5.64,77.8,157.0,7,Intermediário,1,0,2
143,Bem-estar,168,36.9,Sim,4.55,75.9,185.0,1,Intermediário,0,1,2
144,Bem-estar,31,3.3,Não,9.39,92.9,154.0,6,Iniciante,0,0,1
145,Maratona,69,8.0,Não,8.64,82.6,188.0,7,Intermediário,2,0,2
146,Emagrecimento,151,23.3,Não,6.47,59.4,177.0,3,Avançado,1,0,0
147,Emagrecimento,132,14.3,Sim,9.23,53.2,164.0,7,Intermediário,1,1,2
148,Emagrecimento,172,21.8,Não,7.89,71.2,193.0,1,Avançado,1,0,0
149,Maratona,33,4.0,Não,8.26,50.8,199.0,7,Intermediário,2,0,2
150,Maratona,51,6.5,Não,7.9,65.9,163.0,5,Intermediário,2,0,2
151,Bem-estar,158,19.1,Não,8.28,68.4,190.0,6,Intermediário,0,0,2
152,Maratona,165,30.8,Não,5.35,68.8,188.0,1,Avançado,2,0,0
153,Emagrecimento,174,23.8,Sim,7.31,99.0,187.0,1,Avançado,1,1,0
154,Emagrecimento,74,8.5,Sim,8.75,65.2,198.0,2,Intermediário,1,1,2
155,Maratona,139,30.2,Não,4.6,63.3,174.0,5,Avançado,2,0,0
156,Emagrecimento,94,18.4,Não,5.12,56.5,184.0,5,Intermediário,1,0,2
157,Emagrecimento,40,7.0,Não,5.73,75.6,191.0,2,Intermediário,1,0,2
158,Maratona,152,25.5,Não,5.97,57.7,174.0,7,Avançado,2,0,0
159,Maratona,106,19.6,Não,5.41,80.8,174.0,6,Avançado,2,0,0
160,Emagrecimento,78,10.2,Não,7.62,57.8,166.0,4,Intermediário,1,0,2
161,Emagrecimento,108,18.1,Não,5.97,78.8,189.0,3,Intermediário,1,0,2
162,Emagrecimento,169,31.9,Não,5.29,91.3,184.0,5,Avançado,1,0,0
163,Bem-estar,102,11.3,Sim,9.03,52.1,173.0,4,Intermediário,0,1,2
164,Bem-estar,84,10.5,Não,7.98,71.0,171.0,6,Intermediário,0,0,2
165,Bem-estar,83,14.5,Sim,5.73,73.1,154.0,3,Intermediário,0,1,2
166,Maratona,90,14.3,Não,6.3,89.6,150.0,5,Intermediário,2,0,2
167,Bem-estar,23,2.8,Não,8.2,73.4,176.0,1,Iniciante,0,0,1
168,Maratona,162,19.2,Não,8.45,78.4,171.0,5,Avançado,2,0,0
169,Maratona,123,22.9,Não,5.38,89.6,190.0,3,Avançado,2,0,0
170,Bem-estar,169,18.4,Sim,9.18,78.0,177.0,7,Intermediário,0,1,2
171,Bem-estar,112,13.3,Não,8.43,67.9,197.0,4,Intermediário,0,0,2
172,Bem-estar,161,18.3,Não,8.78,54.3,160.0,7,Intermediário,0,0,2
173,Emagrecimento,167,32.0,Não,5.22,86.5,200.0,1,Avançado,1,0,0
174,Bem-estar,131,25.1,Não,5.22,93.6,165.0,3,Intermediário,0,0,2
175,Emagrecimento,180,29.9,Não,6.03,98.5,182.0,6,Avançado,1,0,0
176,Maratona,138,28.6,Não,4.82,96.3,175.0,7,Avançado,2,0,0
177,Emagrecimento,78,15.7,Não,4.96,89.9,168.0,3,Intermediário,1,0,2
178,Bem-estar,62,11.9,Sim,5.22,82.2,157.0,5,Intermediário,0,1,2
179,Maratona,31,3.8,Não,8.06,89.1,157.0,6,Intermediário,2,0,2
180,Maratona,59,12.7,Não,4.65,71.6,186.0,2,Intermediário,2,0,2
181,Maratona,137,27.8,Não,4.92,79.7,169.0,2,Avançado,2,0,0
182,Emagrecimento,39,4.2,Não,9.22,67.4,198.0,7,Iniciante,1,0,1
183,Bem-estar,150,30.5,Não,4.92,66.3,166.0,1,Intermediário,0,0,2
184,Maratona,175,24.3,Não,7.19,87.8,199.0,3,Avançado,2,0,0
185,Maratona,109,14.1,Não,7.71,72.7,160.0,4,Intermediário,2,0,2
186,Maratona,113,12.2,Não,9.29,60.6,155.0,1,Intermediário,2,0,2
187,Emagrecimento,32,3.6,Não,9.0,60.1,166.0,6,Iniciante,1,0,1
188,Emagrecimento,85,12.7,Sim,6.7,93.0,194.0,7,Intermediário,1,1,2
189,Bem-estar,56,6.1,Não,9.21,83.9,176.0,1,Iniciante,0,0,1
190,Emagrecimento,85,12.8,Não,6.66,77.3,157.0,7,Intermediário,1,0,2
191,Maratona,55,7.0,Não,7.85,70.0,160.0,5,Intermediário,2,0,2
192,Bem-estar,45,7.8,Sim,5.8,71.5,166.0,6,Iniciante,0,1,1
193,Maratona,94,12.2,Não,7.68,52.9,180.0,4,Intermediário,2,0,2
194,Maratona,127,17.7,Sim,7.19,72.7,167.0,3,Avançado,2,1,0
195,Emagrecimento,62,8.2,Sim,7.53,89.8,187.0,6,Intermediário,1,1,2
196,Bem-estar,169,21.4,Sim,7.91,69.4,181.0,3,Intermediário,0,1,2
197,Emagrecimento,167,31.1,Não,5.37,69.2,194.0,3,Avançado,1,0,0
198,Emagrecimento,27,4.5,Sim,6.01,50.8,175.0,1,Iniciante,1,1,1
199,Bem-estar,48,5.9,Não,8.18,72.9,167.0,5,Iniciante,0,0,1
200,Maratona,59,11.1,Não,5.32,51.3,200.0,1,Intermediário,2,0,2
201,Maratona,177,28.5,Não,6.22,78.5,168.0,2,Avançado,2,0,0
202,Bem-estar,147,18.8,Não,7.83,75.3,171.0,2,Intermediário,0,0,2
203,Maratona,103,11.2,Não,9.19,92.0,190.0,3,Intermediário,2,0,2
204,Bem-estar,135,27.7,Não,4.88,79.1,154.0,5,Intermediário,0,0,2
205,Bem-estar,163,23.0,Não,7.08,66.2,169.0,6,Intermediário,0,0,2
206,Emagrecimento,81,16.5,Não,4.91,75.8,154.0,3,Intermediário,1,0,2
207,Bem-estar,26,4.1,Não,6.4,85.0,157.0,6,Iniciante,0,0,1
208,Emagrecimento,64,11.9,Sim,5.38,54.7,150.0,3,Intermediário,1,1,2
209,Maratona,174,22.5,Não,7.75,81.1,150.0,1,Avançado,2,0,0
210,Maratona,107,12.9,Não,8.29,95.8,169.0,3,Intermediário,2,0,2
211,Maratona,92,16.0,Não,5.74,65.0,190.0,3,Avançado,2,0,0
212,Maratona,56,6.9,Não,8.06,81.3,179.0,5,Intermediário,2,0,2
213,Emagrecimento,138,20.5,Não,6.73,91.1,182.0,5,Avançado,1,0,0
214,Maratona,76,12.8,Não,5.92,75.6,176.0,7,Intermediário,2,0,2
215,Bem-estar,27,3.8,Não,7.12,85.9,191.0,6,Iniciante,0,0,1
216,Bem-estar,114,17.8,Não,6.4,65.6,194.0,5,Intermediário,0,0,2
217,Bem-estar,136,24.1,Não,5.65,65.3,192.0,3,Intermediário,0,0,2
218,Emagrecimento,129,15.6,Não,8.28,83.4,191.0,5,Avançado,1,0,0
219,Maratona,39,4.6,Não,8.49,85.3,159.0,5,Intermediário,2,0,2
220,Maratona,143,16.8,Não,8.5,96.9,180.0,4,Avançado,2,0,0
221,Maratona,72,11.2,Não,6.41,61.2,179.0,4,Intermediário,2,0,2
222,Emagrecimento,138,25.8,Não,5.35,73.4,176.0,2,Avançado,1,0,0
223,Bem-estar,31,3.6,Não,8.7,62.5,174.0,1,Iniciante,0,0,1
224,Bem-estar,36,5.9,Não,6.15,54.0,154.0,7,Iniciante,0,0,1
225,Maratona,83,10.1,Sim,8.24,70.2,155.0,7,Intermediário,2,1,2
226,Bem-estar,61,7.1,Não,8.59,68.7,195.0,1,Intermediário,0,0,2
227,Bem-estar,113,13.5,Não,8.34,63.5,182.0,5,Intermediário,0,0,2
228,Emagrecimento,176,27.3,Não,6.45,64.8,163.0,2,Avançado,1,0,0
229,Emagrecimento,166,18.1,Não,9.19,68.0,164.0,2,Avançado,1,0,0
230,Emagrecimento,30,3.8,Não,7.8,99.4,181.0,6,Iniciante,1,0,1
231,Emagrecimento,117,15.9,Não,7.38,89.1,170.0,7,Intermediário,1,0,2
232,Maratona,90,11.3,Não,7.99,53.6,172.0,4,Intermediário,2,0,2
233,Emagrecimento,127,26.9,Não,4.72,93.6,153.0,2,Avançado,1,0,0
234,Bem-estar,77,11.9,Não,6.45,81.7,157.0,3,Intermediário,0,0,2
235,Maratona,53,5.9,Não,8.91,94.5,170.0,6,Intermediário,2,0,2
236,Bem-estar,39,7.3,Não,5.31,67.1,185.0,7,Iniciante,0,0,1
237,Bem-estar,69,10.5,Não,6.57,73.2,152.0,5,Intermediário,0,0,2
238,Bem-estar,121,18.5,Não,6.53,94.8,167.0,3,Intermediário,0,0,2
239,Emagrecimento,157,25.0,Não,6.28,63.6,185.0,1,Avançado,1,0,0
240,Emagrecimento,179,24.5,Não,7.31,95.8,190.0,7,Avançado,1,0,0
241,Maratona,71,7.5,Não,9.48,91.4,160.0,4,Intermediário,2,0,2
242,Maratona,34,5.9,Não,5.78,99.0,187.0,3,Intermediário,2,0,2
243,Emagrecimento,103,12.8,Não,8.02,66.2,198.0,5,Intermediário,1,0,2
244,Bem-estar,150,18.1,Não,8.29,61.8,195.0,3,Intermediário,0,0,2
245,Maratona,56,7.5,Não,7.42,66.5,189.0,3,Intermediário,2,0,2
246,Emagrecimento,145,29.1,Não,4.99,97.7,186.0,2,Avançado,1,0,0
247,Emagrecimento,59,8.0,Não,7.36,66.7,162.0,4,Intermediário,1,0,2
248,Emagrecimento,91,9.8,Sim,9.27,78.3,182.0,1,Intermediário,1,1,2
249,Bem-estar,59,9.5,Não,6.21,70.2,182.0,5,Iniciante,0,0,1
250,Emagrecimento,75,9.7,Não,7.7,69.8,170.0,6,Intermediário,1,0,2
251,Emagrecimento,170,18.3,Sim,9.3,59.7,175.0,6,Avançado,1,1,0
252,Emagrecimento,123,14.5,Sim,8.49,76.9,185.0,5,Intermediário,1,1,2
253,Emagrecimento,158,19.9,Não,7.94,92.5,198.0,1,Avançado,1,0,0
254,Maratona,129,13.8,Não,9.36,52.5,165.0,5,Avançado,2,0,0
255,Maratona,155,29.0,Não,5.35,94.5,162.0,2,Avançado,2,0,0
256,Emagrecimento,112,13.4,Não,8.36,83.3,180.0,6,Intermediário,1,0,2
257,Bem-estar,113,17.3,Não,6.53,80.8,157.0,7,Intermediário,0,0,2
258,Maratona,75,11.9,Não,6.3,81.3,179.0,6,Intermediário,2,0,2
259,Emagrecimento,79,11.1,Não,7.1,64.8,154.0,7,Intermediário,1,0,2
260,Maratona,157,33.6,Não,4.67,70.8,175.0,3,Avançado,2,0,0
261,Maratona,58,9.6,Não,6.06,90.0,181.0,2,Intermediário,2,0,2
262,Bem-estar,47,8.8,Não,5.33,65.3,154.0,6,Iniciante,0,0,1
263,Emagrecimento,68,13.1,Não,5.19,73.5,160.0,2,Intermediário,1,0,2
264,Emagrecimento,144,23.3,Não,6.19,51.0,167.0,2,Avançado,1,0,0
265,Bem-estar,32,3.8,Sim,8.51,86.7,168.0,1,Iniciante,0,1,1
266,Bem-estar,55,10.0,Não,5.51,70.9,184.0,6,Iniciante,0,0,1
267,Emagrecimento,120,16.8,Não,7.16,76.3,176.0,7,Avançado,1,0,0
268,Emagrecimento,45,5.5,Não,8.24,55.7,169.0,4,Intermediário,1,0,2
269,Bem-estar,105,18.4,Não,5.7,99.6,173.0,7,Intermediário,0,0,2
270,Maratona,23,2.5,Não,9.12,65.1,151.0,1,Intermediário,2,0,2
271,Maratona,101,11.4,Não,8.83,81.7,189.0,1,Intermediário,2,0,2
272,Bem-estar,146,25.3,Não,5.76,79.1,152.0,2,Intermediário,0,0,2
273,Maratona,107,11.3,Não,9.45,89.3,191.0,4,Intermediário,2,0,2
274,Bem-estar,146,18.6,Não,7.85,64.7,177.0,1,Intermediário,0,0,2
275,Maratona,139,23.4,Não,5.93,87.8,176.0,4,Avançado,2,0,0
276,Maratona,41,5.2,Sim,7.91,69.1,185.0,6,Intermediário,2,1,2
277,Emagrecimento,149,19.0,Não,7.83,70.6,193.0,2,Avançado,1,0,0
278,Emagrecimento,50,6.6,Não,7.53,83.6,197.0,1,Intermediário,1,0,2
279,Maratona,138,17.1,Não,8.06,89.2,177.0,4,Avançado,2,0,0
280,Maratona,30,5.1,Não,5.84,83.3,158.0,5,Intermediário,2,0,2
281,Emagrecimento,65,6.9,Não,9.39,95.0,194.0,7,Intermediário,1,0,2
282,Emagrecimento,115,13.1,Não,8.79,64.3,152.0,1,Intermediário,1,0,2
283,Emagrecimento,29,3.5,Não,8.23,95.0,190.0,1,Iniciante,1,0,1
284,Bem-estar,147,31.7,Não,4.63,56.5,184.0,1,Intermediário,0,0,2
285,Maratona,171,23.0,Sim,7.45,83.0,195.0,4,Avançado,2,1,0
286,Emagrecimento,118,14.7,Não,8.03,77.4,195.0,3,Intermediário,1,0,2
287,Maratona,131,14.9,Não,8.77,74.7,153.0,6,Avançado,2,0,0
288,Bem-estar,79,8.6,Não,9.23,65.5,180.0,7,Intermediário,0,0,2
289,Bem-estar,106,11.7,Não,9.08,75.2,156.0,1,Intermediário,0,0,2
290,Emagrecimento,164,25.1,Não,6.53,58.1,154.0,5,Avançado,1,0,0
291,Bem-estar,84,9.4,Não,8.98,68.5,172.0,5,Intermediário,0,0,2
292,Maratona,76,16.9,Não,4.5,54.9,155.0,2,Avançado,2,0,0
293,Emagrecimento,125,20.0,Não,6.26,78.6,186.0,3,Avançado,1,0,0
294,Maratona,28,5.5,Não,5.07,54.8,198.0,3,Intermediário,2,0,2
295,Maratona,41,4.6,Não,8.92,58.0,178.0,4,Intermediário,2,0,2
296,Bem-estar,160,17.5,Não,9.14,54.3,162.0,2,Intermediário,0,0,2
297,Bem-estar,108,18.7,Não,5.78,69.1,192.0,7,Intermediário,0,0,2
298,Bem-estar,37,5.8,Não,6.34,92.1,193.0,4,Iniciante,0,0,1
299,Bem-estar,134,14.2,Não,9.42,95.3,187.0,2,Intermediário,0,0,2
300,Bem-estar,164,22.4,Não,7.33,53.6,181.0,6,Intermediário,0,0,2
301,Emagrecimento,162,23.2,Não,6.99,81.7,193.0,3,Avançado,1,0,0
302,Maratona,125,17.9,Não,7.0,84.2,158.0,7,Avançado,2,0,0
303,Maratona,34,4.3,Não,7.98,76.7,197.0,6,Intermediário,2,0,2
304,Maratona,82,8.8,Não,9.27,83.3,197.0,7,Intermediário,2,0,2
305,Maratona,32,5.1,Não,6.33,61.7,194.0,4,Intermediário,2,0,2
306,Bem-estar,100,18.7,Não,5.36,74.5,163.0,2,Intermediário,0,0,2
307,Maratona,51,9.4,Sim,5.43,69.5,193.0,3,Intermediário,2,1,2
308,Emagrecimento,156,33.9,Não,4.6,54.5,175.0,3,Avançado,1,0,0
309,Emagrecimento,59,8.1,Não,7.28,81.3,180.0,7,Intermediário,1,0,2
310,Maratona,167,18.3,Não,9.15,74.8,192.0,7,Avançado,2,0,0
311,Maratona,101,12.5,Não,8.07,63.8,151.0,7,Intermediário,2,0,2
312,Emagrecimento,96,10.1,Não,9.46,73.7,168.0,1,Intermediário,1,0,2
313,Emagrecimento,95,10.5,Não,9.05,88.8,191.0,4,Intermediário,1,0,2
314,Bem-estar,57,8.2,Não,6.96,90.1,191.0,1,Iniciante,0,0,1
315,Emagrecimento,90,13.0,Não,6.93,82.5,192.0,7,Intermediário,1,0,2
316,Bem-estar,67,8.8,Sim,7.64,73.4,158.0,7,Intermediário,0,1,2
